RowName,SkillId,Timing,Order,TargetGroup,EffectType,ScaleMode,Value,StatusEffectId,Chance,CondSubject,CondProperty,CondOp,CondValue,CondResult,CondMult,#TODO,Memo
#TODO:N6:P01_0,#TODO:N6:P01,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_DEF_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35000000_0 / 35000000,강철피부 상시형 → 영구 STATUS 1회 부여 후 IN_MULT 채널이 자동 처리(신규 코드 0)
#TODO:N6:P02_0,#TODO:N6:P02,ON_TURN_START,0,SELF,HEAL,ATK,0.05,NONE,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35001000_0 / 35001000,인내 자가회복 floor(Atk×0.05) · SKIP_TURN 시 미발동(D1 §7-2) = 패시브 유일 카운터
#TODO:N6:P03_0,#TODO:N6:P03,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_ATK_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35002000_0 / 35002000,기세 상시형 공격
#TODO:N6:P04_0,#TODO:N6:P04,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_ATK_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35003000_0 / 35003000,예리함 상시형 공격
#TODO:N6:P05_0,#TODO:N6:P05,ON_TURN_START,0,SELF,HEAL,ATK,0.05,NONE,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35004000_0 / 35004000,갈증 자가회복 딜 2/턴
#TODO:N6:P06_0,#TODO:N6:P06,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_DEF_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35005000_0 / 35005000,강인함 상시형 방어
#TODO:N6:P07_0,#TODO:N6:P07,ON_TURN_START,0,SELF,HEAL,ATK,0.05,NONE,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35006000_0 / 35006000,명상 자가회복 서 1/턴 · 아웃힐 불가 유지(§7-5)
#TODO:N6:P08_0,#TODO:N6:P08,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_ATK_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35007000_0 / 35007000,통찰 상시형 공격
#TODO:N6:P09_0,#TODO:N6:P09,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_DEF_UP,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35008000_0 / 35008000,가호 상시형 방어
#TODO:N6:P10_0,#TODO:N6:P10,ON_BATTLE_START,0,SELF,STATUS,NONE,0,PSV_ATK_UP_S,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35009000_0 / 35009000,평정 절반 공격
#TODO:N6:P10_1,#TODO:N6:P10,ON_BATTLE_START,1,SELF,STATUS,NONE,0,PSV_DEF_UP_S,1.0,NONE,ALWAYS,NONE,0,NONE,1.0,N6 결재 후 35009000_1 / 35009000,평정 절반 방어 · 10행 중 유일한 2엔트리 패시브
