Id,#id_txt,#Layer,#PositionTag,#DevStatus,NameKey,DescKey,Kind,Category,MotionRow,Target,PrimaryTargetGroup,HitCount,Cost,CooldownTurns,StagingId,FxCastId,FxProjectileId,FxImpactId,SfxCastId,SfxImpactId,#TODO,Memo
31000000,skill_attack_basic,BASIC,SHARED,LIVE,Skill.Attack,Skill.Attack.Desc,PHYS,ATTACK,5,ENEMY1,SINGLE_ENEMY,1,0,0,62000100,0,0,63000200,0,0,,LIVE 평타 앵커 PR1.0 cd0 · FxCast=0 → motions row5 폴백 63000100 → 회귀0
31010000,skill_ba_cleave,BASIC,SHARED,DRAFT,Skill.Cleave,Skill.Cleave.Desc,PHYS,ATTACK,6,ENEMY1,SINGLE_ENEMY,1,0,0,62000100,0,0,63000200,0,0,,내려베기 ATK2 · 평타는 위력 동일 모션만 분산
31011000,skill_ba_flurry,BASIC,SHARED,DRAFT,Skill.Flurry,Skill.Flurry.Desc,PHYS,ATTACK,7,ENEMY1,SINGLE_ENEMY,3,0,0,62000100,0,0,63000200,0,0,,연타 ATK3 · HitCount=3 은 연출 전용(D1 §3-4) 판정 1회 유지 · D1 §3-6 표본5 값 계승
31012000,skill_ba_leap,BASIC,SHARED,DRAFT,Skill.LeapStrike,Skill.LeapStrike.Desc,PHYS,ATTACK,8,ENEMY1,SINGLE_ENEMY,1,0,0,62000200,0,0,63000200,0,0,,도약참 AIRATK1 · 도약 프로필 3원자 중 1
31013000,skill_ba_plunge,BASIC,SHARED,DRAFT,Skill.Plunge,Skill.Plunge.Desc,PHYS,ATTACK,9,ENEMY1,SINGLE_ENEMY,1,0,0,62000200,0,0,63000200,0,0,,낙하타 AIRATK2 4프레임
31014000,skill_ba_thrust,BASIC,SHARED,DRAFT,Skill.Thrust,Skill.Thrust.Desc,PHYS,ATTACK,5,ENEMY1,SINGLE_ENEMY,1,0,0,62000100,0,0,63000200,0,0,,찌르기 ATK1 재사용
31015000,skill_ba_swipe,BASIC,SHARED,DRAFT,Skill.Swipe,Skill.Swipe.Desc,PHYS,ATTACK,6,ENEMY1,SINGLE_ENEMY,1,0,0,62000100,0,0,63000200,0,0,,후려치기 ATK2 재사용
32010000,skill_ba_bolt,BASIC,SHARED,DRAFT,Skill.ManaBolt,Skill.ManaBolt.Desc,MAG,MAGIC,10,ENEMY1,SINGLE_ENEMY,1,0,0,62000300,63000300,63000500,63000200,0,0,,마력탄 CAST1 · 투사 7원자
32011000,skill_ba_spirit,BASIC,SHARED,DRAFT,Skill.SpiritShot,Skill.SpiritShot.Desc,MAG,MAGIC,11,ENEMY1,SINGLE_ENEMY,1,0,0,62000300,63000300,0,63000200,0,0,,정령타 CAST2 · 즉발(FxProjectileId=0) — 투사와 프로필 동일 차이는 이 셀 하나
32012000,skill_ba_orb,BASIC,SHARED,DRAFT,Skill.ElementOrb,Skill.ElementOrb.Desc,MAG,MAGIC,10,ENEMY1,SINGLE_ENEMY,1,0,0,62000300,63000300,63000500,63000200,0,0,,원소구 CAST1 재사용
