File,W,H,CellPx,GridX,GridY,FrameCount,ColorRowCount,AchromaticRows,RowHues,Note
Free/Part 1/03.png,832,576,64,13,9,13,9,5,52.0;281.9;197.7;118.9;24.6;-1.0;273.8;301.9;263.6,
Free/Part 1/04.png,896,576,64,14,9,14,9,5,53.5;287.3;198.3;114.4;26.9;-1.0;269.1;287.5;256.1,
Free/Part 1/05.png,896,576,64,14,9,14,9,5,347.4;268.7;206.7;133.7;15.8;-1.0;277.3;309.1;272.6,
Free/Part 1/06.png,960,576,64,15,9,15,9,5,53.5;307.6;197.7;79.2;33.6;-1.0;32.9;37.1;223.6,
Free/Part 1/13.png,832,576,64,13,9,13,9,5,348.4;268.2;200.6;134.3;15.4;-1.0;280.4;312.4;277.7,
Free/Part 1/14.png,896,576,64,14,9,14,9,5,43.4;275.5;197.7;125.8;21.6;-1.0;275.7;309.1;270.9,
Free/Part 1/15.png,896,576,64,14,9,14,9,5,43.4;281.9;196.5;118.9;24.6;-1.0;275.7;305.7;263.6,
Free/Part 1/16.png,896,576,64,14,9,14,9,5,43.4;288.0;196.5;112.4;27.5;-1.0;270.0;297.9;254.8,
Free/Part 1/23.png,896,576,64,14,9,14,9,5,52.5;277.0;198.7;123.8;22.2;-1.0;275.1;305.7;269.4,
Free/Part 1/24.png,896,576,64,14,9,14,9,5,48.1;280.0;198.6;121.1;23.5;-1.0;275.7;307.7;266.2,
Free/Part 1/25.png,896,576,64,14,9,14,9,5,53.5;294.4;197.4;98.8;29.7;-1.0;32.9;37.1;244.3,
Free/Part 1/26.png,896,576,64,14,9,14,9,5,348.4;266.6;202.7;136.1;13.0;-1.0;277.3;309.1;274.8,
Free/Part 10/464.png,704,576,64,11,9,11,9,5,23.3;278.8;196.2;121.7;23.0;-1.0;301.5;332.7;268.1,
Free/Part 10/465.png,768,576,64,12,9,12,9,5,27.8;276.1;197.2;125.2;22.0;-1.0;286.0;321.2;272.2,
Free/Part 10/466.png,704,576,64,11,9,11,9,5,41.5;275.9;198.1;125.2;21.8;-1.0;279.1;312.4;272.8,
Free/Part 10/467.png,704,576,64,11,9,11,9,5,27.8;275.9;197.2;125.2;21.8;-1.0;291.8;323.3;272.8,
Free/Part 10/474.png,704,576,64,11,9,11,9,5,50.4;269.5;200.9;132.5;16.7;-1.0;279.6;312.0;276.2,
Free/Part 10/475.png,768,576,64,12,9,12,9,5,53.0;273.4;199.5;127.6;19.8;-1.0;277.3;310.0;274.3,
Free/Part 10/476.png,768,576,64,12,9,12,9,5,52.5;269.2;200.9;133.1;16.4;-1.0;282.9;313.3;277.9,
Free/Part 10/477.png,768,576,64,12,9,12,9,5,30.9;276.1;197.4;125.2;21.8;-1.0;285.0;317.2;271.9,
Free/Part 10/484.png,768,576,64,12,9,12,9,5,30.9;277.9;196.9;122.9;22.8;-1.0;283.8;317.2;268.8,
Free/Part 10/485.png,768,576,64,12,9,12,9,5,43.0;278.2;198.1;122.3;22.9;-1.0;277.3;311.0;268.4,
Free/Part 10/486.png,768,576,64,12,9,12,9,5,43.0;274.1;198.6;127.0;20.6;-1.0;278.2;311.4;274.0,
Free/Part 10/487.png,704,576,64,11,9,11,9,5,40.7;277.0;197.6;124.0;22.3;-1.0;277.8;312.0;268.1,
Free/Part 11/506.png,704,576,64,11,9,11,9,5,23.3;273.2;198.1;127.6;19.8;-1.0;301.5;326.9;275.6,
